Unnamed: 0,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,police,police
4,pensais,thought
6,genre,kind
7,mois,month
8,mettre,to put
9,aucun,no
11,eux,them
12,ville,city
13,chaque,each
14,parlé,speak
15,arrivé,come
16,devrait,should
17,bébé,baby
18,heures,hours
19,vont,will
20,aucune,any
21,place,square
22,parle,speak
23,savais,knew
24,étaient,were
25,attention,Warning
26,voici,here is
27,pourrais,could
28,affaire,case
29,donner,give
30,type,type
31,leurs,their
32,train,train
33,corps,body
34,endroit,place
35,yeux,eyes
36,façon,way
37,dont,whose
39,premier,first
40,perdu,lost
41,main,hand
42,première,first
44,pouvoir,power
45,vieux,old
46,sois,be
47,tiens,here
48,matin,morning
49,tellement,so much
50,enfant,child
51,point,point
53,suite,after
54,venez,come
57,chambre,bedroom
59,droit,law
60,aimerais,would like to
61,aujourd'hui,today
62,mari,husband
63,cause,cause
64,espère,hope
65,eau,water
66,attendez,Wait
68,nouvelle,new
69,boulot,job
70,arrêter,Stop
71,dirait,would say
72,terre,Earth
73,compte,account
74,donne,given
75,loin,far
76,gros,large
77,plutôt,rather
78,aura,will have
79,filles,girls
81,bureau,office
